API,separate,together,mixed,State,State Name,Total,Black,Hispanic,Asian,NHPI,AIAN,Two or more,White,Other,API
,X,,,AL,Alabama,4864680,1293186,,64609,2182,25576,91619,3317453,70055,
,X,,,AK,Alaska,738516,24129,,46556,8849,106660,62461,478834,11027,
X,,X,,AZ,Arizona,6946685,286614,2163312,222477,12523,271946,154750,3825886,9177,235000
,X,,,AR,Arkansas,2990671,460970,,43988,7969,20037,75852,2302874,78981,
,,X,,CA,California,39148760,2164519,15221577,5525439,138911,138427,1166288,14695836,97763,
,,X,,CO,Colorado,5531141,216732,1184794,169556,7480,30131,133884,3778212,10352,
X,,X,,CT,Connecticut,3581504,351817,561791,157406,752,5320,74301,2418696,11421,158158
X,,X,,DE,Delaware,949495,204665,86315,36464,276,2851,21497,595623,1804,36740
,X,X,X,DC,,684498,321317,,26718,340,1993,20143,280469,33518,
,X,,,FL,Florida,20598139,3316376,,559168,12887,58118,542340,15529098,580152,
,,X,,GA,Georgia,10297484,3195363,968463,399223,5070,18416,204114,5476441,30394,
,X,,,HI,Hawaii,1422029,26266,,536842,143274,2987,341756,355612,15292,
,X,,,ID,Idaho,1687809,11536,,23758,2761,22790,46592,1527262,53110,
,,X,,IL,Illinois,12821497,1796057,2174842,685343,3088,15037,232739,7894286,20105,
,X,,,IN,Indiana,6637426,619472,,144991,2818,14925,162295,5548277,144648,
,X,,,IA,Iowa,3132499,109911,,75083,3129,11549,65770,2827889,39168,
,X,,,KS,Kansas,2908776,169801,,83531,2143,24050,101044,2460619,67588,
,X,,,KY,Kentucky,4440204,354112,,62802,2814,9888,99826,3866676,44086,
,X,,,LA,Louisiana,4663616,1502916,,79872,1468,26272,91563,2901106,60419,
,X,,,ME,Maine,1332813,17881,,14917,318,8302,29208,1259217,2970,
,,X,,MD,Maryland,6003435,1759438,588912,371981,2265,10949,165654,3084868,19368,
,,X,,MA,Massachusetts,6830193,463796,789127,440336,1698,8890,142666,4930412,53268,
X,X,,,MI,Michigan,9957488,1375424,,304403,2979,53235,283718,7818588,119141,307382
,X,,,MN,Minnesota,5527358,342186,,262359,2187,58982,157767,4606044,97833,
,,X,,MS,Mississippi,2988762,1121752,90493,28170,654,12990,34893,1696952,2858,
,X,,,MO,Missouri,6090062,704896,,116720,6662,26952,155328,5008342,71162,
,X,,,MT,Montana,1041732,4630,,7947,757,67289,29435,925642,6032,
,,,,NE,Nebraska,1904760,88442,203281,43839,1091,13918,39893,1512314,1982,
,,X,,NV,Nevada,2922849,249967,831597,229928,17703,26355,100513,1458093,8693,
,,X,,NH,New Hampshire,1343622,17622,48356,35848,270,1838,23818,1214547,1323,
,,X,,NJ,New Jersey,8881845,1129257,1768020,826944,2255,9599,148884,4960005,36881,
,,X,,NM,New Mexico,2092434,38016,1015751,29571,1046,183408,32278,788308,4056,
,,X,,NY,New York,19618453,2808679,3705588,1616028,5591,46139,371862,10959534,105032,
,X,,,NC,North Carolina,10155624,2179622,,282264,6939,121352,263301,6994240,307906,
,,,,ND,North Dakota,752201,20113,26529,10664,366,38308,15772,639477,972,
,X,,,OH,Ohio,11641879,1438271,,249741,3591,23563,327089,9489832,109792,
X,X,,,OK,Oklahoma,3918137,287959,,83392,4471,294676,303110,2837772,106757,87863
,X,,,OR,Oregon,4081943,77789,,174510,16006,46961,193660,3445933,127084,
,X,,,PA,Pennsylvania,12791181,1423319,,427892,4107,24847,310880,10341442,258694,
,,X,,RI,Rhode Island,1056611,59001,158858,35128,684,3708,24415,767727,7090,
X,X,,,SC,South Carolina,4955925,1339360,,75084,3004,16686,110208,3332986,78597,94774
,,X,,SD,South Dakota,864289,15840,31995,12540,236,72263,19958,710810,647,
,X,,,TN,Tennessee,6651089,1117489,,112915,3806,17848,142134,5166231,90666,
,,X,,TX,Texas,27885195,3269253,10921556,1292813,20381,68452,463123,11807263,42354,
,,X,,UT,Utah,3045350,33713,422123,68747,26607,28047,67073,2394238,4802,
,X,,,VT,Vermont,624977,8058,,10579,184,2106,12078,589546,2426,
,X,,,VA,Virginia,8413774,1613285,,531503,5677,22972,309213,5722660,208464,
,,X,,WA,Washington,7294336,259482,911573,602020,46476,80274,343226,5039208,12077,
,X,,,WV,West Virginia,1829054,66728,,14534,350,3668,32139,1704345,7290,
X,X,,,WI,Wisconsin,5778394,368744,,159356,1975,50422,135990,4945966,115941,161331
,,X,,WY,Wyoming,581836,5149,56966,4660,434,12717,12124,489559,227,
